Section,Subsection,Question,Answer,Answer Context,Handbook Reference,Figure Numbers,Figure Captions
Otology,Otitis Media with Effusion,"What is glue ear, and is it the same as an ear infection?",Glue ear is fluid behind the eardrum without signs of infection. It is different from acute otitis media and often improves on its own.,"Otitis media with effusion is a non-infective middle-ear effusion behind the tympanic membrane. It may follow acute otitis media but is considered a separate condition. In children, Eustachian tube anatomy predisposes to poor ventilation, and about half of cases resolve spontaneously within three months.",Otology > Otitis Media with Effusion > Description and epidemiology; revised PDF p. 72,[31],Figure 31: Dull right tympanic membrane with visible fluid level (Courtesy of Elef-ENT).
Otology,Otitis Media with Effusion,Why might glue ear affect my child’s speech or behaviour?,"Fluid behind the eardrum can cause conductive hearing loss. In young children, reduced hearing may affect speech development, attention, and behaviour.","Middle-ear effusion reduces tympanic membrane compliance and impairs sound conduction. Infants may be asymptomatic, but parents may notice hearing difficulty, behavioural problems, or delayed speech. Audiometry can show conductive hearing loss, and tympanometry often shows a flat type B trace.","Otology > Otitis Media with Effusion > Symptoms, signs, and investigations; revised PDF pp. 72–73",[31],Figure 31: Dull right tympanic membrane with visible fluid level (Courtesy of Elef-ENT).
Otology,Otitis Media with Effusion,Why is one-sided glue ear in an adult treated more cautiously?,"In adults, a one-sided middle-ear effusion can rarely be caused by a tumour blocking the Eustachian tube opening, so the back of the nose should be examined.",Adult unilateral middle-ear effusion requires exclusion of nasopharyngeal obstruction. A nasopharyngeal tumour may block Eustachian tube drainage and cause persistent effusion. Flexible nasoendoscopy is therefore recommended to assess the post-nasal space and Eustachian tube region.,Otology > Otitis Media with Effusion > Adult unilateral effusion; revised PDF pp. 72–73,[31],Figure 31: Dull right tympanic membrane with visible fluid level (Courtesy of Elef-ENT).
Otology,Chronic Otitis Media,What does it mean if I have a long-term hole in my eardrum with repeated discharge?,"This can fit mucosal chronic otitis media, especially if there is a tympanic membrane perforation with recurrent or persistent infection.","Chronic otitis media includes mucosal disease, where a tympanic membrane perforation coexists with recurrent or persistent middle-ear infection. Disease may be inactive, with a dry perforation, or active, with a wet perforation, inflamed middle-ear mucosa, otorrhoea, and possible secondary otitis externa.",Otology > Chronic Otitis Media > Mucosal chronic otitis media; revised PDF pp. 75–76,[32],Figure 32: Right TM perforation (Courtesy of Elef-ENT)
Otology,Chronic Otitis Media,Why might surgery be offered for a chronic eardrum perforation?,"Repairing the eardrum may help prevent recurrent infections and make the ear safer. Hearing may improve, but the main aim is often to stop repeated infection.","Myringoplasty, also called type 1 tympanoplasty, repairs tympanic membrane perforation using cartilage or fascia. It is indicated to prevent recurrent otitis media and restore the barrier between the external canal and middle ear. Treatment of active discharge also includes aural toilet and antibiotic-steroid drops when infection is present.",Otology > Chronic Otitis Media > Treatment; revised PDF p. 76,[32],Figure 32: Right TM perforation (Courtesy of Elef-ENT)
Otology,Cholesteatoma,"My doctor said “cholesteatoma,” but is it cancer?","No. A cholesteatoma is not a cancer and does not consist of cholesterol. It is a destructive collection of skin-like cells in the wrong place, usually in the middle ear.","Cholesteatoma is an accumulation of benign keratinising squamous cells, most commonly involving the middle ear. Although non-malignant, it can locally destroy adjacent structures because the cells are hyperproliferative and enzymatically active. It is often described clinically as skin in the wrong place.",Otology > Cholesteatoma > Description; revised PDF p. 77,[33],Figure 33: Active squamous chronic otitis media in left ear: attic retraction with retained squamous epithelial debris (cholesteatoma) (Courtesy of Elef-ENT).
Otology,Cholesteatoma,Why does a smelly ear discharge that keeps coming back worry the ENT doctor?,"Persistent or recurrent offensive discharge with one-sided hearing loss can suggest cholesteatoma, especially if it does not settle with topical antibiotics.","Acquired cholesteatoma often develops from Eustachian tube dysfunction that causes tympanic membrane retraction. When the retraction becomes deep enough, normal keratin migration fails and trapped keratin accumulates. Infection of the debris leads to chronic discharge, and progressive local erosion can damage middle-ear structures.","Otology > Cholesteatoma > Causes, symptoms, and signs; revised PDF pp. 77–78",[33],Figure 33: Active squamous chronic otitis media in left ear: attic retraction with retained squamous epithelial debris (cholesteatoma) (Courtesy of Elef-ENT).
Otology,Cholesteatoma,Why is surgery usually recommended for cholesteatoma?,"Surgery is usually needed because cholesteatoma can keep growing, cause recurrent discharge, damage nearby bone or hearing bones, and lead to serious complications.","Cholesteatoma is generally managed surgically unless the patient is not fit for surgery. The aim is to remove the cholesteatoma sac, repair the tympanic membrane and adjacent bony defects, prevent recurrent discharge, and reconstruct hearing when ossicular destruction has occurred. CT of the temporal bone helps assess disease extent.",Otology > Cholesteatoma > Investigations and treatment; revised PDF p. 79,[33],Figure 33: Active squamous chronic otitis media in left ear: attic retraction with retained squamous epithelial debris (cholesteatoma) (Courtesy of Elef-ENT).
Rhinology,Nasal Function and Anatomy,Why does my nose matter so much for breathing if I can also breathe through my mouth?,"The nose does more than let air pass through. It warms, humidifies, filters, and conditions the air before it reaches the lower airway, so persistent nasal blockage can affect comfort, sleep, smell, and breathing quality.","The primary function of the nose is ventilation, but nasal physiology also includes humidification, temperature regulation, filtration by nasal hairs, mucociliary clearance, immune protection, olfaction, middle-ear ventilation through the Eustachian tube, nasolacrimal drainage, and contribution to voice resonance.",Rhinology > Nasal Function and Anatomy > Nasal function; revised PDF pp. 81–82,"[35,36]","Figure 35: Bony and cartilaginous septum. (reproduced with permission from Otolaryngology Houston, www.ghoryeb.com). || Figure 36: Left Inferior turbinate as viewed with the rigid endoscope."
Rhinology,Nasal Function and Anatomy,Why can a bent septum make one side of my nose feel blocked?,"The septum divides the two nasal passages. If it is significantly deviated, especially near the front of the nose, it can narrow one airway and cause obstruction.","The nasal septum partitions the nasal cavity and is formed by cartilaginous and bony structures including the maxillary crest, perpendicular plate of the ethmoid, and vomer. Septal deviation is common, but anterior or marked deviation can become clinically significant by reducing nasal airflow.",Rhinology > Nasal Function and Anatomy > Nasal cavity and septum; revised PDF pp. 82–83,[35],"Figure 35: Bony and cartilaginous septum. (reproduced with permission from Otolaryngology Houston, www.ghoryeb.com)."
Rhinology,Nasal Function and Anatomy,Why do the turbinates in my nose swell and make breathing harder?,"Turbinates contain tissue that can engorge in response to allergy, irritation, infection, temperature change, or other triggers. When swollen, they can narrow the nasal airway.","The lateral nasal wall contains turbinates covered by respiratory epithelium and containing venous plexuses. These tissues participate in humidifying and filtering inspired air, but their capacity to engorge under neural, hormonal, allergic, or inflammatory influence can contribute to nasal obstruction.",Rhinology > Nasal Function and Anatomy > Turbinates; revised PDF pp. 83–84,[36],Figure 36: Left Inferior turbinate as viewed with the rigid endoscope.
Rhinology,Epistaxis,"Is a nosebleed usually harmless, or can it be serious?","Many nosebleeds are minor, but a heavy or ongoing nosebleed can be serious and occasionally life-threatening. Active significant bleeding should be assessed where resuscitation support is available.","Epistaxis ranges from mild anterior bleeding to potentially life-threatening haemorrhage. Assessment must consider haemodynamic stability, blood loss, comorbid disease, anticoagulant use, and bleeding source. Active bleeding may require simultaneous focused history-taking, resuscitation, intravenous access, blood tests, and fluid support.",Rhinology > Epistaxis > Initial assessment and urgency; revised PDF p. 85,,
Rhinology,Epistaxis,Why does the doctor ask which side the nosebleed started from?,"The starting side can help identify the likely bleeding point. It also helps guide examination and management, especially if bleeding keeps recurring from the same side.","In epistaxis history-taking, unilateral predominance helps localise the likely source. Whether blood first exits the nostril or runs down the throat may suggest anterior or posterior bleeding, which affects management strategy. Frequency, volume, comorbidities, anticoagulant use, trauma, and previous nasal surgery also influence risk assessment.",Rhinology > Epistaxis > History; revised PDF p. 85,,
Rhinology,Epistaxis,Why do so many nosebleeds come from the front part of the nose?,"Many nosebleeds arise from Little’s area, a blood-vessel-rich region at the front of the nasal septum. Because it is exposed and vascular, it is a common bleeding site.","Little’s area, also called Kiesselbach’s plexus, lies on the anterior septum and contains an anastomotic network between branches of the internal and external carotid arterial systems. Its exposed anterior location makes it a frequent source of epistaxis, particularly in anterior bleeding.",Rhinology > Epistaxis > Examination and Little’s area; revised PDF p. 86,,
Rhinology,Epistaxis,"When my nose bleeds, should I pinch the bridge of my nose or the soft part?","You should lean forward and pinch the soft part of the nose, not the hard bony bridge. This applies pressure to the septum, where many nosebleeds arise.",First-line mechanical control of anterior epistaxis involves leaning forward and compressing the soft cartilaginous part of the nose against the septum. Pinching the bony nasal bridge is ineffective because it does not compress the common anterior bleeding region. Cold measures may help by promoting vasoconstriction.,Rhinology > Epistaxis > Initial management; revised PDF p. 86,"[37,38]",Figure 37: Incorrect method of pinching the nose. || Figure 38: Correct method of pinching the nose.
Rhinology,Epistaxis,What happens if pressure and cautery do not stop a nosebleed?,"If simple measures fail, or if the bleeding comes from further back in the nose, specialist treatment may be needed. This can include surgery to control the feeding artery.",Persistent or posterior epistaxis may require operative intervention. Endoscopic sphenopalatine artery ligation under general anaesthesia is used when posterior bleeding or failed conservative measures indicate a deeper vascular source. Traumatic anterior bleeding may involve the anterior ethmoidal artery and require a different surgical approach.,Rhinology > Epistaxis > Surgical management of epistaxis; revised PDF pp. 87–88,[39],Figure 39: An endoscopic clinical photograph of the right Sphenopalatine artery being clipped in the back of the nose under general anaesthetic for epistaxis. 2 clips have been applied to the main branch.
Rhinology,Nasal Obstruction,Why can a blocked nose have so many different causes?,"Nasal blockage can come from infection, allergy, injury, septal deviation, previous surgery, medication effects, inflammatory disease, or growths. A careful history and examination help narrow the cause.","Nasal obstruction is a symptom rather than a diagnosis. Common acquired causes include infectious rhinitis or rhinosinusitis, allergic inflammation, developmental septal or bony deviation, trauma, septal haematoma, septal perforation, post-surgical adhesions, rhinitis medicamentosa, medication side effects, cocaine-related injury, neoplastic masses, and systemic inflammatory disease.",Rhinology > Nasal obstruction > Causes of nasal obstruction; revised PDF p. 89,,
Rhinology,Nasal Obstruction,Can using decongestant sprays for too long make my nose more blocked?,"Yes. Prolonged use of topical decongestants can cause rebound congestion, called rhinitis medicamentosa. These sprays should usually be used only for short periods.","Chronic topical decongestant use can produce rhinitis medicamentosa, where pharmacological vasoconstriction is followed by rebound mucosal congestion. This creates a cycle of repeated spray use and worsening obstruction. Drug-related nasal obstruction may also arise from other medications or substance misuse.",Rhinology > Nasal obstruction > Drug-related causes; revised PDF p. 89,,
Rhinology,Nasal Obstruction,Why is one-sided nasal blockage sometimes treated more cautiously than both-sided blockage?,"One-sided blockage may still be due to a simple structural or inflammatory cause, but clinicians are more cautious because a unilateral mass or tumour must not be missed.","Bilateral obstruction commonly reflects inflammatory or allergic disease, but unilateral obstruction raises a broader differential that includes septal deviation, antrochoanal polyp, benign tumour, or malignancy. Persistent unilateral obstruction, especially with bleeding, pain, eye symptoms, glue ear, weight loss, or neck lumps, requires careful assessment.","Rhinology > Nasal obstruction and Other Sinonasal Lesions > Unilateral obstruction; revised PDF pp. 89, 111–113","[48,49,50]",Figure 48: Inverted papilloma right nasal cavity arising from lateral wall of nose. || Figure 49: SCC of the Left Maxillary Sinus. || Figure 50: Endoscopic image of SCC Left Maxillary Sinus
Rhinology,Fractured Nose,Why did the doctor say I do not need an X-ray for my broken nose?,"Nasal fractures are usually diagnosed by history and examination rather than X-ray. The key issues are whether there is a septal haematoma, ongoing bleeding, new obstruction, or visible deformity.","Plain X-rays are not routinely required for nasal fractures because management is guided mainly by clinical assessment. The clinician must exclude septal haematoma, evaluate epistaxis, assess new nasal obstruction, and determine whether swelling obscures deformity requiring delayed review.",Rhinology > Fractured Nose > Assessment; revised PDF p. 90,,
Rhinology,Fractured Nose,"What is a septal haematoma, and why is it urgent?",A septal haematoma is a blood collection in the nasal septum after injury. It needs urgent treatment because it can damage the septal cartilage and lead to a saddle-shaped nose deformity.,"Septal haematoma separates septal cartilage from its nutritional support, compromising oxygen supply and causing ischaemic cartilage necrosis if not drained promptly. Untreated cartilage loss can lead to collapse of nasal support and saddle nose deformity, so it is a critical finding after nasal trauma.","Rhinology > Fractured Nose > Septal haematoma; revised PDF pp. 88, 90",[40],Figure 40: Septal Haematoma after nasal trauma. This requires urgent drainage to avoid complications such as abscess and septal cartilage necrosis.
Rhinology,Fractured Nose,Why am I being asked to come back after the swelling settles?,Swelling and bruising can hide whether the nose is actually deformed. Review after several days allows the clinician to judge the shape more accurately and discuss whether manipulation is needed.,"After nasal trauma, swelling may obscure nasal vault deformity. If the patient is otherwise stable and there is no septal haematoma or uncontrolled bleeding, reassessment after about 5–7 days allows better evaluation of residual deformity and suitability for manipulation under anaesthesia.",Rhinology > Fractured Nose > Delayed review; revised PDF p. 90,[41],Figure 41: Pre-operative image of trauma resulting in significant nasal deformity.
Rhinology,Fractured Nose,What does manipulation under anaesthetic mean for a broken nose?,"It means the nasal bones are moved back toward the midline under anaesthesia. It may improve the shape, but risks include pain, bleeding, bruising, packing, splinting, and failure to restore the original appearance.","Manipulation under anaesthesia is considered when nasal bone displacement causes deformity and the injury is still within the reducible window. Consent should cover pain, bleeding, need for nasal packing, external splint use, bruising, and the possibility that the nose may not return fully to its previous shape.",Rhinology > Fractured Nose > Manipulation under anaesthesia; revised PDF pp. 90–92,[41],Figure 41: Pre-operative image of trauma resulting in significant nasal deformity.
Rhinology,Septoplasty/Septorhinoplasty,What is a septoplasty meant to fix?,Septoplasty is used to remodel a deviated nasal septum when it is contributing to functional nasal obstruction. It may also be done to improve access for some endoscopic nasal procedures.,Septoplasty addresses deviation of the cartilaginous or bony septum to improve the nasal airway. It is commonly performed under general anaesthesia as a day-case procedure and may also facilitate endoscopic access for epistaxis surgery or provide septal cartilage for grafting.,Rhinology > Septoplasty/Septorhinoplasty > Septoplasty; revised PDF p. 93,,
Rhinology,Septoplasty/Septorhinoplasty,Why would someone need septorhinoplasty instead of just septoplasty?,"Septorhinoplasty may be considered when both the septum and the external bony nasal framework are deviated. It can have both functional and cosmetic implications, so careful counselling is important.","Septorhinoplasty is broader than septoplasty because it can address deviation of the septum and the nasal bony vault. It may be performed externally through a columellar incision or endonasally. After trauma, corrective septoplasty or septorhinoplasty is usually delayed and planned electively rather than performed acutely.",Rhinology > Septoplasty/Septorhinoplasty > Septorhinoplasty; revised PDF p. 93,,
Rhinology,Rhinitis and Rhinosinusitis,What is the difference between rhinitis and sinusitis?,Rhinitis mainly means inflammation of the lining of the nose. Rhinosinusitis means inflammation involving both the nose and the paranasal sinuses.,"Rhinitis is inflammation of the nasal mucous membranes and is characterised by nasal congestion, rhinorrhoea, sneezing, itching, and post-nasal drip. Rhinosinusitis involves inflammatory disease of the nasal lining and paranasal sinuses, producing symptoms such as discharge, obstruction, facial pressure, and reduced smell.",Rhinology > Rhinitis and Rhinosinusitis > Description; revised PDF p. 94,,
Rhinology,Rhinitis and Rhinosinusitis,"Why do blocked nose, runny nose, face pressure, and reduced smell often come together?","These symptoms can occur together because the nose and sinuses share a continuous lining. Inflammation can affect airflow, mucus drainage, smell, and pressure sensation at the same time.","Nasal and sinus mucosa function as a connected inflammatory system. When inflamed, mucosal swelling narrows the airway and sinus drainage pathways, mucus production increases, secretions may drain anteriorly or posteriorly, olfactory airflow can be reduced, and sinus pressure may be perceived as facial discomfort.",Rhinology > Rhinitis and Rhinosinusitis > Common symptoms; revised PDF p. 94,,
Rhinology,Allergic Rhinitis,Is hay fever actually an allergy inside the nose?,"Yes. Allergic rhinitis is an IgE-mediated type 1 hypersensitivity reaction of the nasal lining, often triggered by pollen, dust mites, mould, cats, or dogs.","Allergic rhinitis is an immune-mediated inflammatory response of the nasal mucosa. Intermittent disease may be triggered by seasonal allergens such as grass or tree pollen, while persistent symptoms may relate to house dust mite, mould, or animal dander exposure.",Rhinology > Allergic Rhinitis > Description and causes; revised PDF p. 95,,
Rhinology,Allergic Rhinitis,Why do my blocked nose and sneezing get worse around spring and summer?,"Seasonal pollen exposure can trigger allergic rhinitis. Grass and tree pollens commonly cause intermittent symptoms such as sneezing, runny nose, nasal itching, and eye watering.","Intermittent allergic rhinitis is often pollen-driven and classically occurs during late spring or summer. Symptoms include seasonal rhinorrhoea, nasal itching, sneezing, nasal obstruction, and ocular symptoms. Examination may show pale or bluish turbinate mucosa, watery discharge, and turbinate enlargement.",Rhinology > Allergic Rhinitis > Seasonal allergic symptoms and signs; revised PDF pp. 95–96,,
Rhinology,Allergic Rhinitis,Why did the doctor ask whether I have asthma or eczema?,"Allergic rhinitis is commonly associated with other atopic conditions, including asthma and eczema. Knowing this helps the clinician understand the allergic pattern and choose appropriate treatment.","Allergic rhinitis frequently coexists with atopic disease. A family history may be present, and approximately one third of patients with allergic rhinitis may also have asthma. This association is clinically relevant because medications such as leukotriene antagonists may be especially useful when asthma is also present.",Rhinology > Allergic Rhinitis > Epidemiology and associated atopy; revised PDF p. 95,,
Rhinology,Allergic Rhinitis,Why do I need to stop antihistamines before an allergy skin test?,Antihistamines can suppress the skin reaction and make the test less reliable. Stopping them beforehand helps avoid a falsely negative result.,"Skin-prick testing introduces controls and allergen solutions into the dermis, then looks for a wheal response after about 15–20 minutes. Antihistamines can mask this histamine-mediated reaction, so they are usually avoided before testing. Contraindications include severe eczema, dermatographism, or previous anaphylaxis risk.",Rhinology > Allergic Rhinitis > Skin-prick testing; revised PDF pp. 96–98,"[42,43]",Figure 42: Skin Prick Allergy Testing (SPT) Droplets of various allergen solutions are placed onto the forearm and the skin is punctured. || Figure 43: After 15-20 minutes the results can be shown by the positive wheal reaction
Rhinology,Allergic Rhinitis,Why are nasal steroid sprays often recommended for allergic rhinitis?,"Nasal steroid sprays reduce inflammation in the nasal lining and can help with blockage, runny nose, sneezing, and irritation. They usually need regular use for several weeks to work properly.","Allergic rhinitis treatment begins with allergen avoidance, nasal douching, barrier preparations, non-sedating oral antihistamines, and intranasal corticosteroid sprays. Steroid sprays are suitable for longer-term use if tolerated, while specialist escalation may include combination steroid-antihistamine sprays, leukotriene antagonists, or immunotherapy.",Rhinology > Allergic Rhinitis > Treatment; revised PDF pp. 98–99,,
Rhinology,Non-Allergic Rhinitis,Can my nose be inflamed even if I do not have allergies?,"Yes. Non-allergic rhinitis is inflammation of the nasal lining without an allergic cause. It can be triggered by smoke, pollution, cold dry air, spicy food, medicines, hormones, infection, or systemic disease.","Non-allergic rhinitis is common and may account for a large proportion of adult rhinitis. Causes include irritant exposure, vasomotor responses to temperature change, gustatory triggers, rhinitis medicamentosa, cocaine use, infection, granulomatous disease, sarcoidosis, hormonal causes, exercise, positional triggers, and atrophic rhinitis.",Rhinology > Non-Allergic Rhinitis > Causes; revised PDF p. 99,,
Rhinology,Non-Allergic Rhinitis,Why does my nose run when I eat spicy food or go into cold air?,Some people have non-allergic nasal sensitivity where temperature changes or spicy foods trigger congestion or watery discharge. This is not necessarily an allergy.,"Vasomotor and gustatory rhinitis are non-allergic forms of nasal mucosal reactivity. Cold, dry air can trigger vasomotor congestion, while spicy food can provoke gustatory rhinorrhoea. These patterns are inflammatory or neurovascular rather than IgE-mediated allergic reactions.",Rhinology > Non-Allergic Rhinitis > Vasomotor and gustatory causes; revised PDF p. 99,,
Rhinology,Non-Allergic Rhinitis,Why would surgery not completely cure non-allergic rhinitis?,"The underlying problem is usually in the nasal lining, not only in the size of the nasal passages. Surgery may improve airflow or medication delivery, but nasal sprays or rinses may still be needed.","Non-allergic rhinitis is primarily a mucosal disorder, so non-surgical management is the mainstay. Trigger avoidance, smoking cessation, saline douching, intranasal steroids, ipratropium, and short-term decongestants may help. Turbinate surgery can improve obstruction and topical drug access but is not usually curative.",Rhinology > Non-Allergic Rhinitis > Treatment; revised PDF pp. 99–100,,
Rhinology,Acute Rhinosinusitis,Is acute sinusitis usually caused by bacteria?,"Most acute rhinosinusitis is viral, like a common cold. Bacterial sinusitis is less common, so antibiotics are usually reserved for more persistent, worsening, or severe cases.","Acute rhinosinusitis is symptomatic inflammation of the nasal cavity and paranasal sinuses lasting less than 12 weeks. Most cases are viral, caused by common respiratory viruses. Only a minority of upper respiratory infections progress to acute bacterial sinusitis, so antibiotic use should be selective.","Rhinology > Acute Rhinosinusitis > Description, epidemiology, and causes; revised PDF p. 101",[44],"Figure 44: Mucopurulent discharge from the Right Middle Meatus (Sinus Drainage pathway) may be indicative of bacterial infection. (NS) Nasal septum, (MT)Middle Turbinate, (IT) Inferior Turbinate."
Rhinology,Acute Rhinosinusitis,What symptoms make sinusitis more likely than just a mild cold?,"Nasal blockage with coloured discharge, facial pain or pressure, reduced smell, fever, malaise, and worsening after an initially mild illness can suggest acute rhinosinusitis.","Diagnostic symptom patterns for acute rhinosinusitis include sudden onset of at least two symptoms, one of which should be nasal obstruction or nasal discharge. Facial pain or pressure and reduced smell may occur. “Double sickening,” where symptoms worsen after initial improvement, suggests post-viral or bacterial disease.",Rhinology > Acute Rhinosinusitis > Symptoms; revised PDF pp. 101–102,[44],"Figure 44: Mucopurulent discharge from the Right Middle Meatus (Sinus Drainage pathway) may be indicative of bacterial infection. (NS) Nasal septum, (MT)Middle Turbinate, (IT) Inferior Turbinate."
Rhinology,Acute Rhinosinusitis,Why is a painful swollen eye during sinusitis treated as urgent?,"Infection from the sinuses can rarely spread around the eye. This can threaten vision, so eye swelling, proptosis, double vision, or reduced vision needs urgent assessment.","Complicated acute rhinosinusitis can spread extracranially to cause pre-septal cellulitis, orbital cellulitis, or orbital abscess. Intra-orbital sepsis can threaten vision by increasing pressure around the optic nerve. Severe headache, vomiting, photophobia, or neurological symptoms raise concern for intracranial complications.",Rhinology > Acute Rhinosinusitis > Complications; revised PDF pp. 102–103,[45],"Figure 45: Evidence of a sub-periosteal abscess secondary to sinusitis causing right eye proptosis, peri-orbital swelling, chemosis and loss of the pupillary reflexes. Urgent surgery is required to reduce pressure on the optic nerve."
Rhinology,Acute Rhinosinusitis,"Why did the doctor say I may only need pain relief, fluids, saline rinses, and a short decongestant course?",Mild symptoms for less than five days are commonly managed supportively because many cases are viral and settle without antibiotics.,"Mild acute rhinosinusitis of short duration is managed with analgesia, nasal saline irrigation, fluid rehydration, and a short course of nasal decongestant. If symptoms persist beyond 10 days or worsen after 5 days, topical intranasal steroids may be added; severe disease may require antibiotics.",Rhinology > Acute Rhinosinusitis > Treatment by duration and severity; revised PDF p. 104,,
Rhinology,Acute Rhinosinusitis,Why would a CT scan be ordered for sinusitis only in certain cases?,"CT is usually reserved for complicated, severe, or non-responding cases, especially if there are eye or brain-related warning signs.","Routine imaging is not required for uncomplicated acute rhinosinusitis. High-definition CT with contrast of the sinuses and brain is considered when complications occur or symptoms fail to respond, particularly with suspected orbital abscess, intracranial spread, or severe systemic illness.",Rhinology > Acute Rhinosinusitis > Investigations; revised PDF pp. 103–104,"[45,46]","Figure 45: Evidence of a sub-periosteal abscess secondary to sinusitis causing right eye proptosis, peri-orbital swelling, chemosis and loss of the pupillary reflexes. Urgent surgery is required to reduce pressure on the optic nerve. || Figure 46: CT Scan in coronal section showing bilateral maxillary sinusitis. R = Right side. Disease is worse on the left hand side mostly in the maxillary sinus and there is hypertrophy of the left inferior turbinate (reproduced with permission from Otolaryngology Houston, www.ghoryeb.com)."
Rhinology,Chronic Rhinosinusitis,When does sinus trouble become chronic rather than acute?,Rhinosinusitis is considered chronic when inflammation of the nose and sinuses lasts longer than 12 weeks. It may occur with or without nasal polyps.,"Chronic rhinosinusitis is inflammation of the nasal mucosa and paranasal sinuses persisting for more than 12 weeks. It is commonly divided into disease with nasal polyps and disease without nasal polyps. Causes are multifactorial and may include allergic, occupational, hormonal, inflammatory, infective, anatomical, iatrogenic, or medication-related factors.",Rhinology > Chronic Rhinosinusitis > Description and causes; revised PDF p. 105,[46],"Figure 46: CT Scan in coronal section showing bilateral maxillary sinusitis. R = Right side. Disease is worse on the left hand side mostly in the maxillary sinus and there is hypertrophy of the left inferior turbinate (reproduced with permission from Otolaryngology Houston, www.ghoryeb.com)."
Rhinology,Chronic Rhinosinusitis,Why do doctors use both symptoms and camera or CT findings to diagnose chronic sinus disease?,"Symptoms show how the condition affects you, but endoscopy or CT helps confirm inflammation, polyps, swelling, pus, or sinus changes.","Diagnostic criteria for chronic rhinosinusitis require two or more symptoms such as nasal blockage, discharge, facial pressure, or reduced smell, together with objective evidence. Objective evidence may include endoscopic polyps, middle meatal oedema, mucopurulent discharge, or CT mucosal changes in the ostiomeatal complex or sinuses.",Rhinology > Chronic Rhinosinusitis / Nasal Polyps > Diagnostic criteria; revised PDF pp. 105–106,[46],"Figure 46: CT Scan in coronal section showing bilateral maxillary sinusitis. R = Right side. Disease is worse on the left hand side mostly in the maxillary sinus and there is hypertrophy of the left inferior turbinate (reproduced with permission from Otolaryngology Houston, www.ghoryeb.com)."
Rhinology,Nasal Polyps,Are nasal polyps cancer?,"Typical inflammatory nasal polyps are benign and often occur on both sides. However, a one-sided polyp-like mass needs careful assessment because other lesions can mimic a polyp.","Nasal polyps are common benign inflammatory lesions, usually bilateral, grey, oedematous, and associated with chronic rhinosinusitis. They commonly cause nasal blockage and altered smell. A unilateral polyp-like lesion should prompt caution because antrochoanal polyps, inverted papilloma, skull-base lesions, or malignancy can present differently.",Rhinology > Nasal Polyps > Description; revised PDF pp. 108–109,[47],Figure 47: Clinical photograph of left nasal cavity showing inflammatory nasal polyps arising from the sinus drainage pathway (Middle Meatus) blocking nasal airway.
Rhinology,Nasal Polyps,Why might nasal polyps come back even after surgery?,"Surgery can remove polyps and reopen drainage pathways, but it does not always cure the underlying inflammatory tendency. Ongoing nasal rinses and steroid treatment may still be needed.","Medical management of nasal polyps commonly combines saline irrigation and steroid-based therapy. Surgery, including endoscopic polypectomy or functional endoscopic sinus surgery, improves access, removes obstructive tissue, and restores drainage pathways when medical treatment fails. Recurrence remains possible because the inflammatory disease process can persist.",Rhinology > Nasal Polyps > Medical and surgical treatment; revised PDF pp. 109–110,[47],Figure 47: Clinical photograph of left nasal cavity showing inflammatory nasal polyps arising from the sinus drainage pathway (Middle Meatus) blocking nasal airway.
Rhinology,Other Sinonasal Lesions,Should I worry if a doctor says something looks like a one-sided nasal polyp?,"It needs proper assessment. Some one-sided polyp-like lesions are benign, but others can be locally aggressive, vascular, connected to the skull base, or rarely malignant.",Unilateral sinonasal lesions have a broader differential than typical bilateral inflammatory polyps. Inverted papilloma is benign but locally aggressive and recurrent if incompletely removed. Juvenile nasopharyngeal angiofibroma is a vascular tumour of adolescent males. Meningoencephalocoele or glioma requires MRI before biopsy because of possible skull-base connection.,Rhinology > Other Sinonasal Lesions > Benign lesions; revised PDF pp. 111–112,[48],Figure 48: Inverted papilloma right nasal cavity arising from lateral wall of nose.
Rhinology,Other Sinonasal Lesions,What symptoms could suggest a more serious sinus or nasal tumour?,"Persistent one-sided blockage, bleeding, pain, one-sided glue ear, neck lumps, eye symptoms, headaches, weight loss, or nerve symptoms should be assessed carefully.","Sinonasal malignancies are rare but may present late. Warning symptoms include unilateral nasal obstruction, unilateral glue ear, epistaxis, pain, cervical lymphadenopathy, unexplained weight loss, orbital symptoms, headaches, or cranial nerve deficits. Evaluation requires imaging and histology, with management planned through a multidisciplinary team.",Rhinology > Other Sinonasal Lesions > Malignant lesions; revised PDF pp. 112–113,"[49,50]",Figure 49: SCC of the Left Maxillary Sinus. || Figure 50: Endoscopic image of SCC Left Maxillary Sinus
Rhinology,Cleft Lip and Palate,What does it mean when a baby is born with a cleft lip or palate?,"A cleft is a gap in the upper lip and/or roof of the mouth. It can create an abnormal connection between the mouth and nose and may affect feeding, hearing, speech, teeth, and appearance.","Cleft lip and palate is a congenital separation of the upper lip and/or palate, creating abnormal communication between the oral and nasal cavities. Severity ranges from a relatively subtle submucous cleft to bilateral cleft lip and palate with immediate airway and feeding concerns.",Rhinology > Cleft Lip and Palate > Description; revised PDF p. 114,[51],Figure 51: Unilateral left cleft lip and palate (Courtesy of Elf-ENT).
